          0                 1                 2               3               4              5
   100.000000       79.7868652       63.5039864       53.5396347       49.8445244       50.0000000    
   100.000000       79.8689117       63.6358871       53.6705055       49.9249039       50.0000000    
   100.000000       79.9502869       63.7667236       53.8003426       50.0046616       50.0000000    
   100.000000       80.0309906       63.8965073       53.9291573       50.0837975       50.0000000    
   100.000000       80.1110382       64.0252457       54.0569534       50.1623192       50.0000000    
   100.000000       80.1904297       64.1529465       54.1837425       50.2402306       50.0000000    
   100.000000       80.2691727       64.2796249       54.3095284       50.3175354       50.0000000    
   100.000000       80.3472748       64.4052811       54.4343224       50.3942413       50.0000000    
   100.000000       80.4247360       64.5299301       54.5581284       50.4703484       50.0000000    
   100.000000       80.5015640       64.6535721       54.6809578       50.5458641       50.0000000    
   100.000000       80.5777664       64.7762222       54.8028145       50.6207886       50.0000000    
   100.000000       80.6533508       64.8978882       54.9237099       50.6951294       50.0000000    
   100.000000       80.7283173       65.0185699       55.0436478       50.7688904       50.0000000    
   100.000000       80.8026733       65.1382828       55.1626396       50.8420753       50.0000000    
   100.000000       80.8764267       65.2570343       55.2806892       50.9146881       50.0000000    
   100.000000       80.9495773       65.3748322       55.3978043       50.9867325       50.0000000    
   100.000000       81.0221329       65.4916840       55.5139923       51.0582161       50.0000000    
   100.000000       81.0941010       65.6075974       55.6292610       51.1291389       50.0000000    
   100.000000       81.1654816       65.7225800       55.7436180       51.1995087       50.0000000    
   100.000000       81.2362823       65.8366394       55.8570709       51.2693291       50.0000000    
   100.000000       81.3065109       65.9497833       55.9696236       51.3386002       50.0000000    
   100.000000       81.3761673       66.0620193       56.0812874       51.4073296       50.0000000    
   100.000000       81.4452591       66.1733551       56.1920662       51.4755211       50.0000000    
   100.000000       81.5137863       66.2837982       56.3019676       51.5431786       50.0000000    
   100.000000       81.5817566       66.3933563       56.4109993       51.6103058       50.0000000    
   100.000000       81.6491776       66.5020294       56.5191650       51.6769066       50.0000000    
   100.000000       81.7160568       66.6098328       56.6264763       51.7429848       50.0000000    
   100.000000       81.7823944       66.7167740       56.7329369       51.8085442       50.0000000    
   100.000000       81.8481903       66.8228531       56.8385544       51.8735886       50.0000000    
   100.000000       81.9134521       66.9280853       56.9433327       51.9381218       50.0000000    
   100.000000       81.9781876       67.0324707       57.0472794       52.0021477       50.0000000    
   100.000000       82.0424042       67.1360245       57.1504021       52.0656700       50.0000000    
   100.000000       82.1061020       67.2387466       57.2527084       52.1286926       50.0000000    
   100.000000       82.1692810       67.3406448       57.3542023       52.1912193       50.0000000    
   100.000000       82.2319489       67.4417267       57.4548912       52.2532539       50.0000000    
   100.000000       82.2941132       67.5419998       57.5547829       52.3148003       50.0000000    
   100.000000       82.3557739       67.6414642       57.6538811       52.3758621       50.0000000    
   100.000000       82.4169388       67.7401352       57.7521935       52.4364433       50.0000000    
   100.000000       82.4776077       67.8380127       57.8497238       52.4965477       50.0000000    
   100.000000       82.5377884       67.9351120       57.9464836       52.5561790       50.0000000    
   100.000000       82.5974808       68.0314331       58.0424728       52.6153412       50.0000000    
   100.000000       82.6566925       68.1269760       58.1376991       52.6740379       50.0000000    
   100.000000       82.7154236       68.2217560       58.2321701       52.7322731       50.0000000    
   100.000000       82.7736816       68.3157806       58.3258934       52.7900467       50.0000000    
   100.000000       82.8314743       68.4090500       58.4188728       52.8473663       50.0000000    
   100.000000       82.8888016       68.5015717       58.5111122       52.9042320       50.0000000    
   100.000000       82.9456635       68.5933533       58.6026192       52.9606514       50.0000000    
   100.000000       83.0020676       68.6844025       58.6934013       53.0166245       50.0000000    
   100.000000       83.0580215       68.7747192       58.7834625       53.0721550       50.0000000    
   100.000000       83.1135178       68.8643188       58.8728065       53.1272469       50.0000000    
   100.000000       83.1685715       68.9532013       58.9614410       53.1819038       50.0000000    
   100.000000       83.2231827       69.0413666       59.0493698       53.2361298       50.0000000    
